refno,pump_rate
234988,25
225415,10
264220,20
264366,9
217095,0.17
234902,20
264169,23
235046,2
217060,0.42
272241,50
234927,25
217070,0.83
264284,4
264317,6
234942,4
224705,4
235013,25
231514,2
264249,12
309200,2
224755,1.5
234943,25
240234,12
264190,30
224779,15
264381,14
234983,20
231336,4
231434,2
231439,20
231525,3.5
283696,20
225456,20
231475,3
235036,2
234918,17
225521,10
234973,25
251577,30
235106,15
250990,30
251192,10
234958,15
225370,18
303906,2.5
251102,15
309222,18
393548,3.5
393549,5
225365,18
234947,10
225375,14
234619,4
251075,2
309221,3
235026,4
224695,2
224610,7
235041,1
224763,45
224774,5
225430,8
225486,7
251065,12
235009,7.3
225360,15
224605,50
235056,6
235061,5
235066,5
234933,25
217063,20
217068,10
235019,25
225471,7
348815,4
235014,15
231341,20
412743,1.5
234938,15
224753,1.5
234993,20
224748,5
216885,1
224756,0.5
224741,20
234629,38
234913,15
225345,25
234968,20
216890,0.67
224772,0.5
224769,25
235003,20
303893,4
217054,1
234953,15
225355,18
216940,1
70649,7.5
231346,5
417137,1000
309216,7.5
234998,18
224615,4
225380,15
231424,5
224569,8
234984,20
224639,1.5
234651,10
224794,1.5
224624,2
224729,1
235126,10
264278,15
224609,45
48678,20
216939,0.5
224634,3
346535,3
234908,25
303894,3
380357,3
234656,6
225420,8
224564,12
235096,20
234994,25
412739,15
234928,15
225466,30
224643,6
234923,20
224594,12
225461,18
234999,20
224574,10
235121,10
217080,1.33
231508,6
225445,7
225531,3
217069,1
225476,15
264275,27
303898,12
251590,3.5
225424,13
231413,20
225455,13
14570,5
225440,13
235091,5
235007,4
234992,10
225374,3
225398,15
225428,13
224619,6
225383,18
224644,15
225433,6
217065,1.33
224679,6
217055,1.5
225394,25
216895,0.33
264205,6.5
224614,8
235012,15
225418,4
217042,4
235052,5
224767,5
235017,10
235047,3
217073,6
235002,12
225438,10
225344,15
231440,40
225409,14
235042,28
224600,4
234997,20
217077,133
217007,205
225349,15
225399,18
225369,8
217052,10
225339,14
224654,5
283695,8
329558,10
225389,20
224589,2
240182,10
264235,20
231463,2
234644,10
251585,7
225404,30
224649,10
264331,9
225414,12
217057,1
225448,8
217072,2.5
224659,1.5
224669,5
216905,1.5
264255,20
235032,5
231430,14
225393,6
303882,4
407310,1
231326,14
217040,0.05
225423,11
217067,3
231495,16
231500,7
225359,11
224674,5
264195,8.5
264386,17
235062,7
264270,2
417511,2
263426,20
235022,6
217045,0.83
420111,3
303885,5
263433,25
303884,2
231483,3
263315,10
217079,0.5
262937,18
398551,7
217083,4
217078,1
235136,10
251087,7.5
262922,5
217013,3
262841,3
262932,15
225443,10
251000,20
235037,5
225449,8
217018,10
214362,2.5
234982,5.8
303883,4
217017,0.5
225354,12
217012,10
224768,5
225384,15
283680,8
225378,11
224799,0.25
224701,3
224744,0.25
